,Date,Interview,Question
0,2022-02-22,"Efficient process with immediate responses. Friendly recruiters. Initial interview email could benefit from a more direct subject line - it landed in my spam and was titled ""Hi from Netflix"", which I thought was just a Netflix newsletter email until I clicked it.",Describe your background in publicity. 
1,2022-02-22,Smooth and well coordinated. Shuffled between many people over zoom. Cross functional. Bit hard to jump back and forth over several weeks and time zones. Some people were in nor cal los gatos so cal los angeles and international.,What shows do you watch?
2,2022-02-20,"They're as easy or difficult as you make them; there is no direct name X concept about operating systems, or name X concept about computer networks. The coding questions aren't LC, they're analogous to real world systems or situations and you need to have a deep understanding of networks and OS to fully support your implementation and the potential issues/benefits behind it","They're as easy or difficult as you make them; there is no direct name X concept about operating systems, or name X concept about computer networks. The coding questions aren't LC, they're analogous to real world systems or situations and you need to have a deep understanding of networks and OS to fully support your implementation and the potential issues/benefits behind it"
3,2022-02-19,"Technical Screen assessed online with five questions. It was followed by a first round screening (also technical), and finally finished by three interviews (one behavioral interview, one technical interview, one problem solving interview).",Asked about a time that I disagreed with a teammate on a technical project.
4,2022-02-17,"Before the interview, I. heard that the hiring manager was strict and cut-throat. But, in the interview I thought she was cool. Unfortunately, I didn't get an offer, but surprisingly, I received get feedback following my interview.","As a designer, what is your methodology for tackling complex systems?"
5,2022-02-15,"Thorough and fair interview process - initial screening by the talent team, then met the hiring manager before doing a five person panel. Conversations very much focussed on the culture and sensibility vs technical questions.",Describe a time you’ve made a mistake
6,2022-02-14,"Applied  online and then had a phone screen.   I'm not sure if the recruiter didnt want to say exactly why I ""wasn't a good fit"" but, they said it was a language skill issue, the role required a french speaker.  I'm writing a negative review because obviously it was not true as a quick linkedin search showed that they hired someone who does not speak french. So, for a big corporation like netflix to lie, its pretty weak..",Why do you want to work at Netflix.
7,2022-02-11,"I had a few phone screenings. I followed up multiple times  to ask about the process, when next steps would happen etc... After a few months Netflix recruiters stopped responding which I found pretty disrespectful given I work in entertainment and have relationships with Netflix other than applying for a job. I understand that this happens all the time especially at large corporations, but Netflix claims to have a unique company culture that fosters all these amazing things, I hope that the communication of the recruiting team doesn't reflect communication in the rest of the company.",What team would you like to be on? Why Netflix?
8,2022-02-11,"they asked a lot of questions on my current workplace and some analytical questions, which required little math. Interviewers were team leader and director, and the whole interview took about 1 hour",How would you value a content
9,2022-02-08,"JD didn't say current use of Java is required. Recruiter insisted I didn't need recent Java experience and that this role was they best role for me that I applied to. However, the HM stated that Java is absolutely required.  It seems impossible to get to an actual onsite in Netflix since recruiters aren't aligned with the JD and the HM.",Do you use Java today?1 Answer
